id,mpName,house,state,constituency,party,criminal_cases,education,total_assets_raw,total_assets_inr,liabilities_raw,liabilities_inr,allocatedAmount,totalExpenditure,utilizationPercentage,completedWorksCount,recommendedWorksCount,completionRate,unspentAmount
6a932b5ecd944524379ee213,Prof. Ram Gopal Yadav (2020-26),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,221271395.11,178725656.0,80.77,25,56,30.86,42545739.11
6a932b5bcd944524379edf9e,SUKHDEO BHAGAT,Lok Sabha,Jharkhand,LOHARDAGA,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,171821957.11,138586757.0,80.66,80,204,28.17,33235200.11
6a932b5bcd944524379edef8,Pradeep Kumar Singh,Lok Sabha,Bihar,ARARIA,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,147000000.0,118278146.0,80.46,39,47,45.35,28721854.0
6a932b5ecd944524379ee27f,Shri R. Dharmar (2022-28),Rajya Sabha,Tamil Nadu,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,260812242.52,207877791.0,79.7,189,55,77.46,52934451.52
6a932b5ecd944524379ee23e,Shri Hardeep Singh Puri (2020-26),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,226801049.11,180480217.2,79.58,278,137,66.99,46320831.91
6a932b5ecd944524379ee1f6,Dr. Faiyaz Ahmad (2022-28),Rajya Sabha,Bihar,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,235263957.11,183753433.0,78.11,132,57,69.84,51510524.11
6a932b5bcd944524379ede61,Giridhari Yadav,Lok Sabha,Bihar,BANKA,JD(U),0,Post Graduate,"Rs 1,72,81,101 ~ 1 Crore+",17281101.0,"Rs 56,95,769 ~ 56 Lacs+",5695769.0,147000000.0,114805889.0,78.1,85,35,70.83,32194111.0
6a932b5ecd944524379ee255,Shri Khiru Mahto (2022-28),Rajya Sabha,Bihar,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,235770091.81,183791258.0,77.95,171,6,96.61,51978833.81
6a932b5ecd944524379ee2ce,Smt. Seema Dwivedi (2020-26),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,173830159.11,135282718.4,77.82,210,198,51.47,38547440.71
6a932b5ecd944524379ee2c7,Smt. Ranjeet Ranjan (2022-28),Rajya Sabha,Chhattisgarh,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,246780257.87,185739464.0,75.27,160,121,56.94,61040793.87
6a932b5ecd944524379ee1f2,Dr. Bhim Singh (2024-30),Rajya Sabha,Bihar,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,186200000.0,139819329.0,75.09,233,81,74.2,46380671.0
6a932b5ecd944524379ee294,Shri S. Kalyanasundaram (2022-28),Rajya Sabha,Tamil Nadu,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,239763792.52,179863534.0,75.02,141,44,76.22,59900258.52
